id,name,length,capex,transformer_capex,fom,vom,lifetime,discount_rate,node_start,node_end,loss_factor,initial_capacity,max_build,min_build,unit_type,scenarios,near_optimum,range_group
118,LTU-LVA,1.0,175.0,0.0,2.625,0.0,60.0,0.05,LTU,LVA,0.009665981416031588,1.5,15.0,0.0,ac_ohl_transmission,all,False,
119,LTU-POL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,LTU,POL,0.009665981416031588,1.0,40.0,0.0,ac_ohl_transmission,all,False,
120,LTU-SWE,1.0,942.0,0.0,14.13,0.0,60.0,0.05,LTU,SWE,0.0,0.7,28.0,0.0,dc_subsea_transmission,all,False,
121,LUX-BEL,1.0,175.0,0.0,2.625,0.0,60.0,0.05,LUX,BEL,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
122,LUX-DEU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,LUX,DEU,0.009665981416031588,2.9,29.0,0.0,ac_ohl_transmission,all,False,
123,LVA-EST,1.0,175.0,0.0,2.625,0.0,60.0,0.05,LVA,EST,0.009665981416031588,0.95,38.0,0.0,ac_ohl_transmission,all,False,
124,LVA-LTU,1.0,175.0,0.0,2.625,0.0,60.0,0.05,LVA,LTU,0.009665981416031588,1.5,15.0,0.0,ac_ohl_transmission,all,False,
125,MKD-ALB,1.0,516.0,0.0,7.74,0.0,60.0,0.05,MKD,ALB,0.007236986168440374,0.7,28.0,0.0,ac_ohl_mountain_transmission,all,False,
126,MKD-BGR,1.0,175.0,0.0,2.625,0.0,60.0,0.05,MKD,BGR,0.009665981416031588,0.7,28.0,0.0,ac_ohl_transmission,all,False,
127,MKD-GRC,1.0,175.0,0.0,2.625,0.0,60.0,0.05,MKD,GRC,0.009665981416031588,0.6,24.0,0.0,ac_ohl_transmission,all,False,
128,MKD-SRB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,MKD,SRB,0.009665981416031588,1.9,19.0,0.0,ac_ohl_transmission,all,False,
129,MNE-BIH,1.0,516.0,0.0,7.74,0.0,60.0,0.05,MNE,BIH,0.007236986168440374,1.4,14.0,0.0,ac_ohl_mountain_transmission,all,False,
130,MNE-SRB,1.0,516.0,0.0,7.74,0.0,60.0,0.05,MNE,SRB,0.007236986168440374,2.9,29.0,0.0,ac_ohl_mountain_transmission,all,False,
131,MNE-ALB,1.0,175.0,0.0,2.625,0.0,60.0,0.05,MNE,ALB,0.009665981416031588,0.9,36.0,0.0,ac_ohl_transmission,all,False,
